,tim,aus,eur,nez,unk,bra,can,chi,hnk,ind,kor,mex,saf,sng,den,jpn,mal,nor,swe,srl,swi,twn,tha
14,2000-01-21,1.5103,0.99009999999999998,1.9592000000000001,0.60589999999999999,1.78,1.4419999999999999,8.2795000000000005,7.7792000000000003,43.600000000000001,1128,9.4469999999999992,6.1280000000000001,1.681,7.3724999999999996,104.95999999999999,3.7999999999999998,7.9989999999999997,8.4930000000000003,73.299999999999997,1.5972999999999999,30.850000000000001,37.229999999999997
15,2000-01-24,1.5281,0.99809999999999999,1.9759,0.60529999999999995,1.768,1.4399999999999999,8.2789000000000001,7.7794999999999996,43.619999999999997,1124.5,9.4849999999999994,6.1675000000000004,1.6825000000000001,7.4279999999999999,105.52,3.7999999999999998,8.0259999999999998,8.5259999999999998,72.950000000000003,1.609,30.850000000000001,37.299999999999997
16,2000-01-25,1.5286,0.99590000000000001,1.9732000000000001,0.60670000000000002,1.78,1.4389000000000001,8.2786000000000008,7.7800000000000002,43.590000000000003,1127,9.5250000000000004,6.1616999999999997,1.6867000000000001,7.4119999999999999,105.87,3.7999999999999998,8.0359999999999996,8.5210000000000008,73.450000000000003,1.6085,30.850000000000001,37.270000000000003
17,2000-01-26,1.5373000000000001,0.99890000000000001,1.9762999999999999,0.6099,1.7809999999999999,1.4379,8.2782,7.7805,43.649999999999999,1127.8,9.5175000000000001,6.1749999999999998,1.6950000000000001,7.4329999999999998,105.84999999999999,3.7999999999999998,8.0675000000000008,8.5284999999999993,73.400000000000006,1.6102000000000001,30.850000000000001,37.479999999999997
18,2000-01-27,1.5266999999999999,1.0111000000000001,1.9716,0.61109999999999998,1.78,1.4350000000000001,8.2782999999999998,7.7805,43.630000000000003,1125,9.5199999999999996,6.2270000000000003,1.6930000000000001,7.5250000000000004,104.91,3.7999999999999998,8.1475000000000009,8.6150000000000002,73.450000000000003,1.6316999999999999,30.829999999999998,37.460000000000001
19,2000-01-28,1.5962000000000001,1.0241,2.0533999999999999,0.6169,1.79,1.4495,8.2781000000000002,7.7800000000000002,43.649999999999999,1121,9.5809999999999995,6.3574999999999999,1.71,7.6165000000000003,107.15000000000001,3.7999999999999998,8.2699999999999996,8.8200000000000003,73.049999999999997,1.6485000000000001,30.75,37.649999999999999
20,2000-01-31,1.5669,1.0248999999999999,2.0190000000000001,0.61799999999999999,1.802,1.4517,8.2776999999999994,7.7809999999999997,43.649999999999999,1124,9.6400000000000006,6.3125,1.7010000000000001,7.633,107.33,3.7999999999999998,8.3010000000000002,8.8149999999999995,73.5,1.6495,30.75,37.549999999999997
21,2000-02-01,1.5834999999999999,1.0276000000000001,2.0392000000000001,0.61919999999999997,1.7949999999999999,1.4468000000000001,8.2774000000000001,7.7807000000000004,43.619999999999997,1127,9.5969999999999995,6.2800000000000002,1.6990000000000001,7.6444999999999999,107.67,3.7999999999999998,8.2769999999999992,8.7680000000000007,73.549999999999997,1.6539999999999999,31.75,37.509999999999998
22,2000-02-02,1.5723,1.0238,2.0415999999999999,0.62270000000000003,1.7849999999999999,1.4435,8.2773000000000003,7.7805,43.649999999999999,1131,9.5749999999999993,6.2824999999999998,1.6984999999999999,7.6215000000000002,108.40000000000001,3.7999999999999998,8.2249999999999996,8.7080000000000002,73.25,1.6501999999999999,30.800000000000001,37.649999999999999
23,2000-02-03,1.5657000000000001,1.0114000000000001,2.0133000000000001,0.624,1.7749999999999999,1.4417,8.2781000000000002,7.7812000000000001,43.649999999999999,1130.5,9.5099999999999998,6.2575000000000003,1.6924999999999999,7.5199999999999996,107.92,3.7999999999999998,8.1579999999999995,8.577,73.549999999999997,1.6254999999999999,30.800000000000001,37.590000000000003
24,2000-02-04,1.5834999999999999,1.0246,2.0284,0.62829999999999997,1.7729999999999999,1.4467000000000001,8.2788000000000004,7.7809999999999997,43.649999999999999,1130,9.4809999999999999,6.2859999999999996,1.6930000000000001,7.6260000000000003,107.54000000000001,3.7999999999999998,8.2699999999999996,8.6630000000000003,73.549999999999997,1.647,30.800000000000001,37.549999999999997
25,2000-02-07,1.5774999999999999,1.0222,2.0259,0.62829999999999997,1.77,1.4457,8.2788000000000004,7.782,43.640000000000001,1129.5999999999999,9.4359999999999999,6.2904999999999998,1.6958,7.609,108.75,3.7999999999999998,8.2590000000000003,8.6600000000000001,73.5,1.6426000000000001,30.800000000000001,37.75
26,2000-02-08,1.5741000000000001,1.014,2.0243000000000002,0.62090000000000001,1.7649999999999999,1.4473,8.2788000000000004,7.7808999999999999,43.630000000000003,1129.5,9.4019999999999992,6.2990000000000004,1.6968000000000001,7.5454999999999997,109.59,3.7999999999999998,8.1835000000000004,8.5950000000000006,73.599999999999994,1.6301000000000001,30.75,37.640000000000001
27,2000-02-09,1.5760000000000001,1.0086999999999999,2.0325000000000002,0.62050000000000005,1.77,1.4442999999999999,8.2788000000000004,7.7809999999999997,43.649999999999999,1124,9.3989999999999991,6.3200000000000003,1.6918,7.5039999999999996,109.11,3.7999999999999998,8.1449999999999996,8.5440000000000005,73.599999999999994,1.6232,30.649999999999999,37.549999999999997
28,2000-02-10,1.5823,1.0137,2.0263,0.62280000000000002,1.77,1.45,8.2788000000000004,7.782,43.579999999999998,1121,9.4365000000000006,6.3425000000000002,1.6929000000000001,7.5469999999999997,108.73999999999999,3.7999999999999998,8.1750000000000007,8.5850000000000009,72.819999999999993,1.6279999999999999,30.649999999999999,37.420000000000002
29,2000-02-11,1.5918000000000001,1.0155000000000001,2.0346000000000002,0.628,1.7669999999999999,1.4515,8.2788000000000004,7.7813999999999997,43.649999999999999,1115,9.423,6.3609999999999998,1.6947000000000001,7.5659999999999998,108.98999999999999,3.7999999999999998,8.2119999999999997,8.6080000000000005,73.599999999999994,1.6305000000000001,30.629999999999999,37.43
30,2000-02-14,1.5926,1.0222,2.0541999999999998,0.62929999999999997,1.7689999999999999,1.4547000000000001,8.2779000000000007,7.7800000000000002,43.649999999999999,1128,9.3930000000000007,6.3550000000000004,1.6975,7.6120000000000001,108.65000000000001,3.7999999999999998,8.2479999999999993,8.6790000000000003,73.650000000000006,1.6435,30.719999999999999,37.490000000000002
31,2000-02-15,1.5872999999999999,1.0168999999999999,2.0533999999999999,0.627,1.7829999999999999,1.4584999999999999,8.2776999999999994,7.7809999999999997,43.640000000000001,1128,9.3874999999999993,6.3550000000000004,1.696,7.5743,108.75,3.7999999999999998,8.2515000000000001,8.6799999999999997,73.75,1.633,30.75,37.520000000000003
32,2000-02-16,1.587,1.0161,2.0411999999999999,0.62339999999999995,1.7749999999999999,1.452,8.2776999999999994,7.7813999999999997,43.75,1126,9.3714999999999993,6.3375000000000004,1.7033,7.5670000000000002,109.38,3.7999999999999998,8.2390000000000008,8.6694999999999993,73.409999999999997,1.6302000000000001,30.719999999999999,37.700000000000003
33,2000-02-17,1.5823,1.0139,2.0255000000000001,0.62309999999999999,1.7769999999999999,1.4521999999999999,8.2772000000000006,7.7815000000000003,43.68,1128,9.3979999999999997,6.3250000000000002,1.706,7.5549999999999997,110.27,3.7999999999999998,8.2850000000000001,8.6799999999999997,73.650000000000006,1.6274,30.719999999999999,37.770000000000003
34,2000-02-18,1.5892999999999999,1.0152000000000001,2.0371000000000001,0.62560000000000004,1.7769999999999999,1.4512,8.2772000000000006,7.7808000000000002,43.68,1129,9.3539999999999992,6.3250000000000002,1.7058,7.5609999999999999,110.88,3.7999999999999998,8.2569999999999997,8.6724999999999994,73.359999999999999,1.6282000000000001,30.765000000000001,38.109999999999999
36,2000-02-22,1.5982000000000001,0.99399999999999999,2.0337999999999998,0.61860000000000004,1.7849999999999999,1.4595,8.2773000000000003,7.7824999999999998,43.649999999999999,1135,9.4269999999999996,6.3129999999999997,1.7084999999999999,7.4035000000000002,111.04000000000001,3.7999999999999998,8.1449999999999996,8.5395000000000003,73.599999999999994,1.5983000000000001,30.800000000000001,38.219999999999999
37,2000-02-23,1.6138999999999999,0.99829999999999997,2.0596999999999999,0.62319999999999998,1.79,1.4651000000000001,8.2780000000000005,7.7826000000000004,43.68,1136,9.4130000000000003,6.335,1.714,7.4359999999999999,111.11,3.7999999999999998,8.1775000000000002,8.577,73.599999999999994,1.6082000000000001,30.800000000000001,38.090000000000003
38,2000-02-24,1.6275999999999999,1.0068999999999999,2.0547,0.62570000000000003,1.782,1.4587000000000001,8.2780000000000005,7.7830000000000004,43.649999999999999,1144,9.3819999999999997,6.3289999999999997,1.7164999999999999,7.5010000000000003,110.95,3.7999999999999998,8.2055000000000007,8.6189999999999998,73.75,1.6200000000000001,30.850000000000001,38.219999999999999
39,2000-02-25,1.6194,1.0243,2.0482999999999998,0.62860000000000005,1.774,1.4504999999999999,8.2786000000000008,7.7830000000000004,43.649999999999999,1137,9.3780000000000001,6.3120000000000003,1.7110000000000001,7.6345000000000001,110.98,3.7999999999999998,8.3119999999999994,8.6950000000000003,73.75,1.6475,30.800000000000001,37.880000000000003
40,2000-02-28,1.6351,1.0342,2.0636000000000001,0.62749999999999995,1.7789999999999999,1.4538,8.2786000000000008,7.7830000000000004,43.68,1135,9.4024999999999999,6.3724999999999996,1.7184999999999999,7.6974999999999998,109.17,3.7999999999999998,8.3424999999999994,8.6895000000000007,73.75,1.6615,30.800000000000001,37.950000000000003
41,2000-02-29,1.6247,1.0369999999999999,2.0554999999999999,0.63370000000000004,1.7689999999999999,1.4504999999999999,8.2786000000000008,7.7832999999999997,43.649999999999999,1131.3099999999999,9.3644999999999996,6.3399999999999999,1.7237,7.7240000000000002,109.88,3.7999999999999998,8.3810000000000002,8.75,73.75,1.6665000000000001,30.760000000000002,38.130000000000003
42,2000-03-01,1.6483000000000001,1.0308999999999999,2.0606,0.63100000000000001,1.7689999999999999,1.4470000000000001,8.2786000000000008,7.7824,43.630000000000003,1128.5,9.3629999999999995,6.3525,1.7181999999999999,7.673,107.09999999999999,3.7999999999999998,8.3115000000000006,8.6865000000000006,73.75,1.6568000000000001,30.75,38.109999999999999
43,2000-03-02,1.6455,1.0396000000000001,2.0499999999999998,0.63429999999999997,1.7589999999999999,1.4542999999999999,8.2787000000000006,7.7824999999999998,43.649999999999999,1120.5,9.3409999999999993,6.3680000000000003,1.7214,7.7446000000000002,107.37,3.7999999999999998,8.4024000000000001,8.8049999999999997,73.900000000000006,1.6714,30.75,38
44,2000-03-03,1.6442000000000001,1.0397000000000001,2.0499999999999998,0.63249999999999995,1.744,1.4510000000000001,8.2789000000000001,7.7832999999999997,43.649999999999999,1120.5,9.3149999999999995,6.4900000000000002,1.7253000000000001,7.7415000000000003,107.8,3.7999999999999998,8.3970000000000002,8.8149999999999995,73.900000000000006,1.6712,30.75,38.009999999999998
45,2000-03-06,1.6621999999999999,1.0412999999999999,2.0790000000000002,0.63560000000000005,1.7470000000000001,1.4555,8.2784999999999993,7.7835000000000001,43.630000000000003,1119.3,9.3175000000000008,6.5,1.7252000000000001,7.7549999999999999,107.73999999999999,3.7999999999999998,8.4124999999999996,8.7865000000000002,74,1.675,30.800000000000001,38.100000000000001
46,2000-03-07,1.657,1.046,2.0678000000000001,0.63400000000000001,1.7470000000000001,1.4527000000000001,8.2783999999999995,7.7839999999999998,43.630000000000003,1118.7,9.2850000000000001,6.5229999999999997,1.7199,7.7869999999999999,106.2,3.7999999999999998,8.4359999999999999,8.8040000000000003,73.900000000000006,1.681,30.75,38.060000000000002
47,2000-03-08,1.641,1.0443,2.0512999999999999,0.63070000000000004,1.754,1.4592000000000001,8.2786000000000008,7.7845000000000004,43.649999999999999,1119.2,9.2720000000000002,6.4824999999999999,1.714,7.7770000000000001,106.89,3.7999999999999998,8.4540000000000006,8.8510000000000009,73.650000000000006,1.677,30.760000000000002,37.939999999999998
48,2000-03-09,1.6247,1.0326,2.0337999999999998,0.63229999999999997,1.7350000000000001,1.4570000000000001,8.2787000000000006,7.7842000000000002,43.630000000000003,1123,9.2925000000000004,6.4024999999999999,1.708,7.694,106.45,3.7999999999999998,8.3930000000000007,8.7234999999999996,73.650000000000006,1.6595,30.75,37.93
49,2000-03-10,1.6296999999999999,1.0353000000000001,2.0202,0.63319999999999999,1.738,1.4575,8.2784999999999993,7.7847999999999997,43.649999999999999,1120.2,9.3175000000000008,6.3875000000000002,1.7035,7.7175000000000002,106.27,3.7999999999999998,8.3949999999999996,8.7200000000000006,73.799999999999997,1.6660999999999999,30.75,37.850000000000001
50,2000-03-13,1.6221000000000001,1.0365,2.0272000000000001,0.63360000000000005,1.7490000000000001,1.4614,8.2781000000000002,7.7842000000000002,43.649999999999999,1121,9.3130000000000006,6.4349999999999996,1.7068000000000001,7.7234999999999996,105.31999999999999,3.7999999999999998,8.4190000000000005,8.718,74.049999999999997,1.6701999999999999,30.75,37.93
51,2000-03-14,1.6287,1.0368999999999999,2.0392000000000001,0.63590000000000002,1.738,1.4632000000000001,8.2780000000000005,7.7845000000000004,43.640000000000001,1118.4000000000001,9.3190000000000008,6.4400000000000004,1.7095,7.7234999999999996,104.84999999999999,3.7999999999999998,8.4429999999999996,8.6969999999999992,73.620000000000005,1.6715,30.739999999999998,37.869999999999997
52,2000-03-15,1.6327,1.0314000000000001,2.0470999999999999,0.63570000000000004,1.7402,1.468,8.2777999999999992,7.7847,43.649999999999999,1118.5,9.3369999999999997,6.4749999999999996,1.7150000000000001,7.6855000000000002,105.58,3.7999999999999998,8.4169999999999998,8.6914999999999996,73.620000000000005,1.6617999999999999,30.75,38.159999999999997
53,2000-03-16,1.6375,1.0299,2.0499999999999998,0.63500000000000001,1.736,1.4723999999999999,8.2776999999999994,7.7846000000000002,43.579999999999998,1118,9.3249999999999993,6.4500000000000002,1.712,7.665,105.63,3.7999999999999998,8.4060000000000006,8.6940000000000008,73.640000000000001,1.6593,30.815000000000001,37.960000000000001
54,2000-03-17,1.6483000000000001,1.0316000000000001,2.0640000000000001,0.63670000000000004,1.7370000000000001,1.4728000000000001,8.2784999999999993,7.7849000000000004,43.649999999999999,1117.3,9.3219999999999992,6.4699999999999998,1.7161,7.6760000000000002,106.09999999999999,3.7999999999999998,8.4085000000000001,8.6660000000000004,74,1.6619999999999999,30.739999999999998,37.969999999999999
55,2000-03-20,1.6488,1.0299,2.0682999999999998,0.63749999999999996,1.74,1.4702999999999999,8.2786000000000008,7.7854999999999999,43.630000000000003,1118.1800000000001,9.3209999999999997,6.492,1.72,7.6669999999999998,106.5,3.7999999999999998,8.4209999999999994,8.6425000000000001,73.900000000000006,1.6605000000000001,30.75,38.039999999999999
56,2000-03-21,1.6393,1.0306,2.0396000000000001,0.63590000000000002,1.7395,1.4661999999999999,8.2782999999999998,7.7854999999999999,43.590000000000003,1117,9.3000000000000007,6.484,1.7188000000000001,7.6760000000000002,106.91,3.7999999999999998,8.4290000000000003,8.6500000000000004,73.75,1.6615,30.780000000000001,37.899999999999999
57,2000-03-22,1.6513,1.0407999999999999,2.0508999999999999,0.63670000000000004,1.7290000000000001,1.472,8.2782999999999998,7.7858000000000001,43.649999999999999,1113,9.2750000000000004,6.4574999999999996,1.7124999999999999,7.7510000000000003,106.77,3.7999999999999998,8.4659999999999993,8.7110000000000003,73.700000000000003,1.675,30.75,37.799999999999997
58,2000-03-23,1.6554,1.0319,2.0512999999999999,0.63170000000000004,1.7230000000000001,1.4726999999999999,8.2787000000000006,7.7858000000000001,43.649999999999999,1110,9.2375000000000007,6.4779999999999998,1.7115,7.6875,107.45,3.7999999999999998,8.3879999999999999,8.6449999999999996,73.75,1.6521999999999999,30.75,37.75
59,2000-03-24,1.6491,1.0284,2.0478999999999998,0.62849999999999995,1.73,1.4650000000000001,8.2789000000000001,7.7845000000000004,43.649999999999999,1108.7,9.1875,6.4835000000000003,1.716,7.6574999999999998,107.25,3.7999999999999998,8.3450000000000006,8.5775000000000006,73.739999999999995,1.6333,30.699999999999999,37.719999999999999
